School,W,L,S,Kills,Errors,Total Attacks,Pct,Assists,Digs,Aces,Block Solos,Block Assists,TB,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
Penn St.,33,2,123,1753,452,3843,0.339,1631,1620,169,92,566,375,1445,750,4058,0.171
Nebraska,32,4,125,1777,575,4267,0.282,1632,1904,184,61,479,300.5,1368,701,4335,0.154
Western Ky.,31,4,120,1705,469,3728,0.332,1578,1601,165,71,409,275.5,1347,663,3879,0.176
Austin Peay,30,6,132,1834,678,4906,0.236,1731,2256,199,92,314,249,1598,700,4857,0.185
BYU,30,3,118,1613,529,3993,0.271,1503,1584,148,45,589,339.5,1431,738,4070,0.17
Florida,30,2,116,1593,480,3998,0.278,1502,1826,152,38,603,339.5,1315,712,4191,0.144
North Dakota,30,8,138,1851,632,5239,0.233,1739,2530,134,88,569,372.5,1794,882,5628,0.162
Stanford,30,4,119,1713,488,3842,0.319,1609,1484,177,41,637,359.5,1364,681,3808,0.179
VCU,30,3,116,1459,580,3911,0.225,1370,1599,183,63,637,381.5,1332,800,4077,0.13
Colorado St.,29,4,116,1624,475,3638,0.316,1533,1444,168,62,542,333,1376,686,3800,0.182
Kentucky,29,4,119,1786,501,4035,0.318,1636,1594,136,49,481,289.5,1469,633,3982,0.21
North Texas,29,4,122,1800,543,4289,0.293,1671,1766,180,66,402,267,1472,659,4209,0.193
Wichita St.,29,4,111,1632,445,3940,0.301,1533,1899,96,36,506,289,1361,723,4247,0.15
Alabama St.,28,11,142,1769,728,4658,0.223,1616,1978,196,70,469,304.5,1531,819,4660,0.153
Minnesota,28,6,118,1733,509,4288,0.285,1623,1926,146,49,485,291.5,1581,678,4530,0.199
Missouri St.,28,6,127,1828,588,5028,0.247,1742,2443,135,56,355,233.5,1634,723,5090,0.179
Cal Poly,27,3,101,1522,432,3519,0.31,1420,1524,149,40,306,193,1206,533,3489,0.193
Central Ark.,27,5,117,1612,622,3986,0.248,1494,1647,175,67,429,281.5,1370,675,3947,0.176
Col. of Charleston,27,6,118,1666,598,4191,0.255,1550,1906,131,73,415,280.5,1366,693,4240,0.159
Texas,27,3,106,1480,364,3546,0.315,1369,1617,101,47,567,330.5,1304,676,3885,0.162
Towson,27,6,120,1709,702,4672,0.216,1625,2130,155,36,359,215.5,1399,677,4495,0.161
UMES,27,9,134,1626,545,4088,0.264,1493,1725,268,62,390,257,1381,767,4130,0.149
UNI,27,9,131,1997,702,5368,0.241,1857,2581,129,83,322,244,1615,696,5217,0.176
American,26,8,122,1656,509,4123,0.278,1542,1813,173,72,428,286,1466,703,4304,0.177
Creighton,26,7,118,1684,511,4209,0.279,1557,1909,152,37,422,248,1439,633,4284,0.188
Pittsburgh,26,7,117,1696,636,3905,0.271,1584,1545,167,40,445,262.5,1324,602,3764,0.192
Sacramento St.,26,10,146,1972,708,5732,0.221,1852,2507,197,74,506,327,1946,750,5601,0.214
SFA,26,8,122,1587,496,4308,0.253,1475,2019,186,28,498,277,1480,720,4526,0.168
Fairfield,25,7,112,1510,693,4030,0.203,1445,1851,159,38,354,215,1209,630,3941,0.147
Radford,25,5,109,1457,500,3841,0.249,1320,1721,166,36,357,214.5,1209,613,3800,0.157
San Diego,25,5,104,1552,587,3703,0.261,1468,1516,134,61,310,216,1194,524,3495,0.192
Southern California,25,10,136,1929,726,4801,0.251,1810,1946,167,54,443,275.5,1713,738,4667,0.209
Texas St.,25,10,126,1760,759,4771,0.21,1664,2210,140,54,420,264,1438,693,4647,0.16
Washington,25,8,121,1672,560,4291,0.259,1556,1820,193,52,618,361,1540,688,4323,0.197
Baylor,24,7,112,1630,578,3990,0.264,1526,1753,128,39,419,248.5,1235,616,3911,0.158
Colorado,24,10,128,1745,603,4603,0.248,1634,1911,132,60,499,309.5,1666,754,4645,0.196
High Point,24,8,114,1536,544,3989,0.249,1431,1763,194,71,308,225,1337,668,4042,0.166
Louisville,24,7,114,1546,611,4033,0.232,1444,1738,142,53,422,264,1310,631,3949,0.172
Michigan St.,24,9,113,1635,542,4035,0.271,1511,1687,199,42,429,256.5,1334,580,3853,0.196
UC Irvine,24,8,116,1560,597,3965,0.243,1452,1693,180,53,247,176.5,1314,558,3829,0.197
